CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
RLA114;macrofyten_2014;NL11;;;M6b;117196;488707;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
RLA115;macrofyten_2014;NL11;;;M6b;113585.5292;488666.0041;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
RLA116;macrofyten_2014;NL11;;;M6b;112326;488646;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
HRE101;macrofyten_2014;NL11;;;M3;128854;484761;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;7050;7050-EAG-1;
HRE102;macrofyten_2014;NL11;;;M3;128973.7697;484673.6506;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Water;75;7050-EAG-1;
HRE103;macrofyten_2014;NL11;;;M3;128191;485358;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;7050;7050-EAG-1;
HRE104;macrofyten_2014;NL11;;;M3;128009;485478;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;75;7050-EAG-1;
HRE105;macrofyten_2014;NL11;;;M3;128091;485419;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;7050;7050-EAG-1;
BBV112;macrofyten_2014;NL11;;;M3;121534;483289;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;2100;2100-EAG-1;
HRE109;macrofyten_2014;NL11;;;M3;128854;484761;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Water;7050;7050-EAG-1;
MUY101;macrofyten 2014;NL11;;;M27;131241;467009;;;plas;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Water;48;3300-EAG-1;NL11_5_5
MUY102;macrofyten 2014;NL11;;;M27;131160;465295;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Water;3300;3300-EAG-3;NL11_5_6
MUY103;macrofyten 2014;NL11;;;M27;132385;465419;;;plas;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Water;48;3300-EAG-1;NL11_5_5
MUY104;macrofyten 2014;NL11;;;M27;130634;464312;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Veen;3300;3300-EAG-4;NL11_5_6
MUY105;macrofyten 2014;NL11;;;M27;130369;465653;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Water;48;3300-EAG-3;NL11_5_6
MUY106;macrofyten 2014;NL11;;;M27;130856;464350;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;MACFTGBD_MACFTKRWOM_MACFTKRWTT;KRW;KRW;HYBI;HYBI;Water;3300;3300-EAG-4;NL11_5_6
NAP257;macrofyten 2014;NL11;;;M14;135512;479539;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ_VASTECOMACFT;MACFTOZ;KRW_Onderzoek;Onderzoek;HYBI;HYBI;Water;48;3100-EAG-1;NL11_4_1
NAP258;macrofyten 2014;NL11;;;M14;136821;478310;;;plas;;FYTPTKRWOM_MACEVBIODIV_MACEVKRWOM_MACEVKRWTT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ;MACFTOZ;KRW_Onderzoek;Onderzoek;BODCHEM_HYBI;HYBI;Water;3100;3100-EAG-3;NL11_4_1
NAP259;macrofyten 2014;NL11;;;M14;136422;478287;;;lijnvormig;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTOZ_NAARDERMEER-BC_VASTECOMACFT;MACFTOZ;KRW_Onderzoek;Onderzoek;BODCHEM_HYBI;HYBI;Water;48;3100-EAG-3;NL11_4_1
