"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"149";"PMW040";133916;462778;"3360-EAG-14";"Ptot blijft gelijk in de tijd op meetlocatie PMW040.";0.106303502429418;0.0861866340839055
"150";"PMW041";133895;462569;"3360-EAG-10";"Ptot neemt af in de tijd op meetlocatie PMW041.";0.0121751791758984;-0.136916685809141
"151";"PMW050";132744;461565;"3360-EAG-9";"Ptot blijft gelijk in de tijd op meetlocatie PMW050.";0.356895008852099;-0.0479926831366593
"152";"PMW051";134460;461537;"3360-EAG-11";"Ptot blijft gelijk in de tijd op meetlocatie PMW051.";0.121710157399417;-0.0833776393023205
"153";"PMW052";136645;463832;"3360-EAG-17";"Ptot blijft gelijk in de tijd op meetlocatie PMW052.";0.106215285245585;0.0914165515865748
"154";"PMW057";136294;464589;"3360-EAG-19";"Ptot neemt toe in de tijd op meetlocatie PMW057.";0.000788931080925832;0.230045289625436
"155";"PMW058";134460;461537;"3360-EAG-11";"Ptot neemt toe in de tijd op meetlocatie PMW058.";3.85539763216236e-06;0.338988695847478
"156";"PMW060";134460;461537;"3360-EAG-11";"Ptot neemt toe in de tijd op meetlocatie PMW060.";0.000162293636951048;0.280693585297864
"157";"PMW065";134460;461537;"3360-EAG-11";"Ptot neemt toe in de tijd op meetlocatie PMW065.";1.51759183174098e-05;0.318322595448853
"158";"PMW066";134460;461537;"3360-EAG-11";"Ptot blijft gelijk in de tijd op meetlocatie PMW066.";0.613708436753044;0.0336317617873041
"159";"PMW073";133030;460718;"3360-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie PMW073.";0.953759464418694;-0.00520778579403181
"160";"PMW074";131810;462648;"3360-EAG-4";"Ptot blijft gelijk in de tijd op meetlocatie PMW074.";0.313843415071475;-0.0987642502405732
"161";"PMW079";133085;460879;"3360-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PMW079.";0.107068770179807;-0.184166680288463
"162";"PMW080";135049;460793;"3360-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PMW080.";0.717582268770246;-0.040989229195902
"163";"PMW406";134384;462471;"3360-EAG-13";"Ptot neemt toe in de tijd op meetlocatie PMW406.";0.000902745345466689;0.239759275029465
"164";"PNR006";129531;462278;"6550-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PNR006.";0.109787599851822;-0.0819098231744118
"165";"POG001";123720.4774;466682.779;"2505-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie POG001.";0.0614604269571249;-0.148896087898747
"166";"PRH001";123488;476146;"2400-EAG-1";"Ptot neemt af in de tijd op meetlocatie PRH001.";4.35657842801793e-07;-0.257977880470958
"167";"PTB001";117163;469699;"2504-EAG-1";"Ptot neemt af in de tijd op meetlocatie PTB001.";0.000375294769758037;-0.181444809386854
"168";"PWH001";125298;476729;"2410-EAG-1";"Ptot neemt af in de tijd op meetlocatie PWH001.";0.010707250049442;-0.131332426755211
"169";"PWV003";121774;467427;"2503-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PWV003.";0.190252406092096;-0.0671213949237523
"170";"PZH001";116599;466774;"2600-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PZH001.";0.779289678998846;-0.0142532937676027
"171";"RKP001";117178;482932;"8080-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie RKP001.";0.806674444087467;-0.0134114483281382
"172";"RKP012";114525;483782;"8080-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie RKP012.";0.0688084370424876;0.0988123778223409
"173";"SAP010";134175;475852;"3201-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie SAP010.";0.284967836549258;0.058070617153839
"174";"SAP011";133947;475008;"3201-EAG-2";"Ptot neemt toe in de tijd op meetlocatie SAP011.";0.00207614501410181;0.166639048177769
"175";"SBI001";114575;484123;"8070-EAG-2";"Ptot neemt af in de tijd op meetlocatie SBI001.";0.00253410520228597;-0.144276765881506
"176";"SBI010";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI010.";1.27479065508919e-25;0.501196276903656
"177";"SBI027";116848.985;488061.6283;"8070-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie SBI027.";0.130603677778427;0.0822633506196487
"178";"SBI031";117760.0583;485046.5983;"8070-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie SBI031.";0.937520886559788;-0.00442810386166515
"179";"SBI054";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI054.";4.48563010745552e-14;0.493952019472294
"180";"SBI056";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI056.";1.08807145810692e-12;0.46780735453925
"181";"SBI059";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI059.";3.26934058696355e-08;0.363086748019857
"182";"SBI060";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI060.";0.00320338774624549;0.192585851664575
"183";"SBI061";116234;486509;"8070-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBI061.";0.000389040629424261;0.223840573151152
"184";"SBP001";132882;476824;"3200-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie SBP001.";0.941925266585758;0.00441388173139383
"185";"SBP013";132326.92;475182.555;"3260-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP013.";0.00522337232547164;0.160400325874234
"186";"SBP050";132688;476023;"3200-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie SBP050.";0.171020540515482;0.0751553600857907
"187";"SBP055";132688;476023;"3200-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP055.";1.05860624838813e-07;0.382541065810137
"188";"SBP057";132688;476023;"3200-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP057.";3.69063238174011e-09;0.431350220563495
"189";"SBP059";132688;476023;"3200-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP059.";1.20152684435071e-05;0.315554801041223
"190";"SBP060";132688;476023;"3200-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP060.";3.60580241139592e-06;0.335917577145791
"191";"SBP062";132688;476023;"3200-EAG-1";"Ptot neemt toe in de tijd op meetlocatie SBP062.";8.85321274869959e-05;0.262682937260762
