"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"121";"PBP009";129037.6573;466180.2062;"3350-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PBP009.";0.956396933862544;-0.00352249560121306
"122";"PBW001";126673;474638;"2570-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PBW001.";0.515082616309266;0.0376237497725127
"123";"PDB001";117727;466482;"2520-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PDB001.";0.413940365809544;-0.0416964690813219
"124";"PDW001";131135;472413;"3240-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PDW001.";0.748995531790874;0.017919129854443
"125";"PEB001";118452;472359;"2530-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PEB001.";0.0114958537579971;0.132045175437534
"126";"PGM001";122004;473930;"2540-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PGM001.";0.302532740094979;-0.0573535522594832
"127";"PGW001";116266;469875;"2500-EAG-6";"CHLFa blijft gelijk in de tijd op meetlocatie PGW001.";0.622640427413188;-0.0419823123215019
"128";"PGW006";126016;471109;"2500-EAG-4";NA;NA;NA
"129";"PGW007";125290;470063;"2500-EAG-3";NA;NA;NA
"130";"PHM001";137022;476321;"4230-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PHM001.";0.260689206117318;0.0626659288323751
"131";"PHM009";137927;475082;"4240-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PHM009.";0.0402671686904806;-0.11272306471224
"132";"PKH002";137022;470250;"3230-EAG-6";"CHLFa blijft gelijk in de tijd op meetlocatie PKH002.";0.000299145373571998;-0.220866949666679
"133";"PKH010";134030;471872;"3230-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie PKH010.";0.00097070607321886;-0.17047838455983
"134";"PKH011";134994;472226;"3230-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie PKH011.";0.000446945608303194;-0.174003078763046
"135";"PKH020";134075;470101;"3230-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PKH020.";0.000341307652987512;-0.189919178306814
"136";"PKH035";131747.9484;472795.4275;"3230-EAG-6";"CHLFa blijft gelijk in de tijd op meetlocatie PKH035.";1.72058053479934e-05;-0.323210219616433
"137";"PKH044";135275;473011;"3230-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie PKH044.";0.0953875921212888;-0.0871505269688186
"138";"PKH050";132806;471074;"3230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PKH050.";9.12672318238016e-19;-0.445614467732018
"139";"PKH055";132806;471074;"3230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PKH055.";1.36514645868381e-07;-0.397412536257893
"140";"PKH070";132806;471074;"3230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PKH070.";0.19273350077633;-0.0967806922443632
"141";"PKH353";132806;471074;"3230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PKH353.";0.00657472307674232;-0.204746381519039
"142";"PKH354";132806;471074;"3230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie PKH354.";0.408300051896029;0.0680027139453227
"143";"PKH444";136268;470307;"3230-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PKH444.";0.0328257820281501;-0.197405955831388
"144";"PMD013";129566;467618;"3340-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PMD013.";0.754856670699211;-0.0173432392566148
"145";"PMW024";135019.1017;462563.3908;"3360-EAG-16";"CHLFa blijft gelijk in de tijd op meetlocatie PMW024.";1.10289555370801e-13;0.378216459636644
"146";"PMW025";132631;460737;"3360-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie PMW025.";0.805697115341154;0.0127473569710953
"147";"PMW040";133916;462778;"3360-EAG-14";"CHLFa blijft gelijk in de tijd op meetlocatie PMW040.";1.16632586150167e-10;0.332669028759414
"148";"PMW041";133895;462569;"3360-EAG-10";"CHLFa blijft gelijk in de tijd op meetlocatie PMW041.";0.053153676150228;-0.104286871240907
"149";"PMW050";132744;461565;"3360-EAG-9";"CHLFa blijft gelijk in de tijd op meetlocatie PMW050.";0.206859263600909;-0.065550898926313
"150";"PMW051";134460;461537;"3360-EAG-11";"CHLFa blijft gelijk in de tijd op meetlocatie PMW051.";0.36693887614427;-0.0495622107932434
